title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Nostalghia,movie,Drama,1983,tt0086022,7.9,31609,
"La Vie En Rose",movie,"Biography, Drama, Music",2007,tt0450188,7.5,92284,
"The Departed",movie,"Crime, Drama, Thriller",2006,tt0407887,8.5,1483775,
"The Contract",movie,"Action, Crime, Drama",2006,tt0445946,5.6,26634,
"The Virgin Suicides",movie,"Drama, Romance",1999,tt0159097,7.2,178467,
Immortality,movie,"Crime, Mystery, Romance",1998,tt0120894,6.2,6335,
"Superman Returns",movie,"Action, Adventure, Sci-Fi",2006,tt0348150,6.1,295821,
"The Illusionist",movie,"Drama, Fantasy, Mystery",2006,tt0443543,7.5,396885,
"Miss Congeniality",movie,"Action, Comedy, Crime",2000,tt0212346,6.3,239594,
"The Last King of Scotland",movie,"Biography, Drama, History",2006,tt0455590,7.6,200838,
"Spy Game",movie,"Action, Crime, Thriller",2001,tt0266987,7.1,172173,
Collateral,movie,"Action, Crime, Drama",2004,tt0369339,7.5,447857,
"Office Space",movie,Comedy,1999,tt0151804,7.6,298485,
"Live Free or Die Hard",movie,"Action, Thriller",2007,tt0337978,7.1,428665,
"Die Hard 2",movie,"Action, Thriller",1990,tt0099423,7.1,396013,
Chicago,movie,"Comedy, Crime, Musical",2002,tt0299658,7.2,249859,
"Resident Evil",movie,"Action, Horror, Sci-Fi",2002,tt0120804,6.6,298843,
"Resident Evil: Apocalypse",movie,"Action, Horror, Sci-Fi",2004,tt0318627,6.1,215537,
Apocalypto,movie,"Action, Adventure, Drama",2006,tt0472043,7.8,344244,
"What's Eating Gilbert Grape",movie,Drama,1993,tt0108550,7.7,261545,
"Bring It On",movie,"Comedy, Romance, Sport",2000,tt0204946,6.2,109879,
"I Heart Huckabees",movie,Comedy,2004,tt0356721,6.5,66970,
"The Island",movie,"Action, Sci-Fi, Thriller",2005,tt0399201,6.8,334020,
"Speed 2: Cruise Control",movie,"Action, Adventure, Crime",1997,tt0120179,4,88163,
Crash,movie,"Crime, Drama, Thriller",2004,tt0375679,7.7,455205,
"A Time to Kill",movie,"Crime, Drama, Thriller",1996,tt0117913,7.5,189669,
"The Legend of Zorro",movie,"Action, Adventure, Romance",2005,tt0386140,6,111009,
Copycat,movie,"Drama, Mystery, Thriller",1995,tt0112722,6.6,69620,
"The Cider House Rules",movie,"Drama, Romance",1999,tt0124315,7.4,107219,
"The Incredible Hulk",movie,"Action, Adventure, Sci-Fi",2008,tt0800080,6.6,542461,
"Iron Man",movie,"Action, Adventure, Sci-Fi",2008,tt0371746,7.9,1170312,
"Jesus Camp",movie,Documentary,2006,tt0486358,7.4,29132,
"The Piano Teacher",movie,"Drama, Music",2001,tt0254686,7.5,75893,
"The Devil's Advocate",movie,"Drama, Fantasy, Mystery",1997,tt0118971,7.5,421902,
Transformers,movie,"Action, Adventure, Sci-Fi",2007,tt0418279,7.1,695961,
Sunflower,movie,"Drama, War",1970,tt0065782,7.3,4830,
"The Karate Kid",movie,"Action, Drama, Family",1984,tt0087538,7.3,258154,
"The Beach",movie,"Adventure, Drama, Romance",2000,tt0163978,6.6,260639,
"Sweet November",movie,"Drama, Romance",2001,tt0230838,6.7,96795,
Superman,movie,"Action, Adventure, Sci-Fi",1978,tt0078346,7.4,195708,
"The Amazing Spider-Man",movie,"Action, Sci-Fi",2012,tt0948470,6.9,731618,
"The Others",movie,"Horror, Mystery, Thriller",2001,tt0230600,7.6,409157,
Zodiac,movie,"Crime, Drama, Mystery",2007,tt0443706,7.7,633544,
"A Perfect Murder",movie,"Crime, Drama, Thriller",1998,tt0120787,6.6,95186,
Bandidas,movie,"Action, Comedy, Crime",2006,tt0416496,5.7,38144,
"Aguirre, the Wrath of God",movie,"Action, Adventure, Biography",1972,tt0068182,7.8,65145,
"The Mourning Forest",movie,Drama,2007,tt1016205,6.7,2984,
"Secret Sunshine",movie,Drama,2007,tt0817225,7.5,10169,
Hidalgo,movie,"Action, Adventure, Biography",2004,tt0317648,6.7,87224,
Hostage,movie,"Action, Crime, Drama",2005,tt0340163,6.5,114818,
"Say Anything",movie,"Comedy, Drama, Romance",1989,tt0098258,7.3,99230,
"Training Day",movie,"Crime, Drama, Thriller",2001,tt0139654,7.8,494815,
"The Lake House",movie,"Drama, Fantasy, Romance",2006,tt0410297,6.8,161415,
"I, Robot",movie,"Action, Mystery, Sci-Fi",2004,tt0343818,7.1,595569,
"The Getaway",movie,"Action, Adventure, Crime",1994,tt0109890,5.8,20544,
"Gappa the Triphibian Monster",movie,"Action, Adventure, Comedy",1967,tt0061550,4.4,1812,
Solaris,movie,"Drama, Mystery, Romance",2002,tt0307479,6.2,87664,
Payback,movie,"Action, Crime, Drama",1999,tt0120784,7.1,149630,
"L.A. Confidential",movie,"Crime, Drama, Mystery",1997,tt0119488,8.2,639749,
"Me, Myself & Irene",movie,Comedy,2000,tt0183505,6.6,258360,
"The Perfect Storm",movie,"Action, Adventure, Drama",2000,tt0177971,6.5,183416,
"The Time Machine",movie,"Action, Adventure, Sci-Fi",2002,tt0268695,6,133192,
"Cop Land",movie,"Crime, Drama, Thriller",1997,tt0118887,7,111046,
Valkyrie,movie,"Drama, History, Thriller",2008,tt0985699,7.1,266234,
"Paris, Je T'aime",movie,"Comedy, Drama, Romance",2006,tt0401711,7.2,75486,
"The Golden Compass",movie,"Adventure, Family, Fantasy",2007,tt0385752,6.1,200330,
Big,movie,"Comedy, Drama, Fantasy",1988,tt0094737,7.3,249725,
Closer,movie,"Drama, Romance",2004,tt0376541,7.2,243998,
Beowulf,movie,"Action, Adventure, Animation",2007,tt0442933,6.3,177212,
"Executive Decision",movie,"Action, Adventure, Thriller",1996,tt0116253,6.5,63442,
Taxi,movie,"Action, Comedy, Crime",1998,tt0152930,7,92711,
"10 Items or Less",movie,"Comedy, Drama",2006,tt0499603,6.5,16665,
"Joint Security Area",movie,"Action, Drama, Thriller",2000,tt0260991,7.7,36223,
"The Princess Bride",movie,"Adventure, Comedy, Family",1987,tt0093779,8,465308,
"The Bourne Identity",movie,"Action, Mystery, Thriller",2002,tt0258463,7.8,593754,
"The Bourne Supremacy",movie,"Action, Thriller",2004,tt0372183,7.7,499334,
"The Bourne Ultimatum",movie,"Action, Mystery, Thriller",2007,tt0440963,8,670632,
"The Specialist",movie,"Action, Drama, Thriller",1994,tt0111255,5.6,71560,
"Dark City",movie,"Fantasy, Mystery, Sci-Fi",1998,tt0118929,7.6,219291,
"The Ring",movie,"Horror, Mystery",1998,tt0178868,7.2,81610,
"The Abyss",movie,"Adventure, Drama, Mystery",1989,tt0096754,7.5,201116,
"Addams Family Values",movie,"Comedy, Fantasy",1993,tt0106220,6.8,116791,
"As Good as It Gets",movie,"Comedy, Drama, Romance",1997,tt0119822,7.7,327975,
"The Astronaut's Wife",movie,"Drama, Sci-Fi, Thriller",1999,tt0138304,5.4,58269,
"The Addams Family",movie,"Comedy, Fantasy",1991,tt0101272,7,190853,
"Ghostbusters II",movie,"Action, Comedy, Fantasy",1989,tt0097428,6.6,233053,
Roar,movie,"Adventure, Comedy, Thriller",1981,tt0083001,6.1,4942,
"One on Top of the Other",movie,"Drama, Horror, Mystery",1969,tt0065148,6.6,2865,
"The Searchers",movie,"Adventure, Western",1956,tt0049730,7.8,100055,
"Battle Royale",movie,"Adventure, Drama, Thriller",2000,tt0266308,7.5,200580,
"Battle Royale II",movie,"Action, Adventure, Drama",2003,tt0338763,4.6,21898,
"Good Night, and Good Luck.",movie,"Biography, Drama, History",2005,tt0433383,7.4,102897,
"Under Siege 2: Dark Territory",movie,"Action, Adventure, Thriller",1995,tt0114781,5.6,51671,
"Girl, Interrupted",movie,"Biography, Drama",1999,tt0172493,7.3,223647,
"Black Sheep",movie,"Comedy, Horror, Sci-Fi",2006,tt0779982,5.8,42741,
"Flags of Our Fathers",movie,"Action, Adventure, Drama",2006,tt0418689,7.1,131860,
Beetlejuice,movie,"Comedy, Fantasy",1988,tt0094721,7.5,402305,
"That Man from Rio",movie,"Action, Adventure, Comedy",1964,tt0058203,7,6655,
Blow,movie,"Biography, Crime, Drama",2001,tt0221027,7.5,281522,
"Shoot 'Em Up",movie,"Action, Comedy, Thriller",2007,tt0465602,6.6,157145,
"Women on the Verge of a Nervous Breakdown",movie,"Comedy, Drama",1988,tt0095675,7.5,48681,
